mean_pixel,std_pixel,dark_ratio,skewness,kurtosis,entropy,dct_h_0,dct_h_1,dct_h_2,dct_h_3,dct_h_4,dct_v_0,dct_v_1,dct_v_2,dct_v_3,dct_v_4,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,q_tl_mean,q_tl_std,q_tr_mean,q_tr_std,q_bl_mean,q_bl_std,q_br_mean,q_br_std,label,label_name
153.69037,110.992805,0.3990478515625,-0.4035232000679172,-1.6422206888770294,0.9703908977507993,-21.23870849609375,133.08294677734375,-31.982219696044922,159.986328125,20.317319869995117,41.8361701965332,115.82984924316406,16.26693344116211,138.3373260498047,-42.400146484375,0.0,0.00274658203125,0.0093994140625,0.08111572265625,0.0576171875,0.37506103515625,0.03033447265625,0.02093505859375,0.40087890625,0.02191162109375,155.3251953125,110.84730529785156,157.468505859375,110.48236846923828,151.403076171875,111.6801986694336,150.564697265625,110.81388092041016,1,malware
148.53278,111.88273,0.42230224609375,-0.3192047245162005,-1.705763679490642,0.98251027968178,2.3593692779541016,149.40553283691406,-10.779857635498047,147.42599487304688,76.32793426513672,8.810604095458984,195.65301513671875,-3.2561140060424805,117.09796142578125,-6.41443395614624,0.0,0.00323486328125,0.00970458984375,0.08624267578125,0.05816650390625,0.36651611328125,0.02972412109375,0.01885986328125,0.40618896484375,0.0213623046875,151.379150390625,111.14813232421875,148.0966796875,111.87347412109375,149.880859375,111.40605926513672,144.7744140625,112.98607635498047,1,malware
151.22955,111.91247,0.4102783203125,-0.366881685882086,-1.6783952043995998,0.9766463812845998,8.399532318115234,152.37794494628906,-7.492709636688232,162.58917236328125,-28.29271697998047,29.284582138061523,176.96041870117188,27.804162979125977,163.63461303710938,-21.586488723754883,0.0001220703125,0.00360107421875,0.00958251953125,0.07806396484375,0.05609130859375,0.36175537109375,0.029052734375,0.019287109375,0.41937255859375,0.0230712890625,149.565673828125,111.62614440917969,154.714111328125,111.54043579101562,151.0625,111.24127197265625,149.575927734375,113.15318298339844,1,malware
152.78253,111.62456,0.4046630859375,-0.38805741984641595,-1.6614156167003347,0.9736130531752001,8.2975492477417,156.44287109375,25.390045166015625,154.48712158203125,-8.61357307434082,-3.5714757442474365,127.76394653320312,-7.894373416900635,184.72850036621094,-49.99131774902344,0.0,0.0025634765625,0.0096435546875,0.08160400390625,0.05670166015625,0.361083984375,0.02679443359375,0.01959228515625,0.42034912109375,0.02166748046875,150.636474609375,111.28768157958984,151.829345703125,111.69988250732422,154.017578125,111.9182357788086,154.646728515625,111.5444107055664,1,malware
146.7182,112.647385,0.42962646484375,-0.29108044360453855,-1.7307157708774552,0.985662737677058,-10.669898986816406,164.99795532226562,26.481565475463867,157.8216552734375,-23.127546310424805,-0.2345954179763794,174.82077026367188,5.2330322265625,150.08004760742188,-32.241859436035156,0.0,0.0025634765625,0.0101318359375,0.0816650390625,0.058349609375,0.360595703125,0.02740478515625,0.018798828125,0.42034912109375,0.0201416015625,145.826904296875,112.90164184570312,147.88720703125,113.08678436279297,144.634765625,112.1583480834961,148.52392578125,112.39695739746094,1,malware
148.53601,112.42173,0.42529296875,-0.31937924111065674,-1.7133290499290974,0.9838357726953808,-5.304142951965332,164.076171875,-9.078947067260742,119.67367553710938,-2.7234976291656494,41.642696380615234,165.8057098388672,4.753402233123779,148.71664428710938,-3.0022799968719482,0.0,0.00299072265625,0.0103759765625,0.0814208984375,0.05755615234375,0.35882568359375,0.02642822265625,0.0172119140625,0.4234619140625,0.021728515625,149.127197265625,111.9297866821289,154.267822265625,111.30107116699219,144.027587890625,112.61905670166016,146.721435546875,113.57156372070312,1,malware
150.04462,112.13904,0.413818359375,-0.34472840946222016,-1.6958780000181515,0.978462018483542,-2.1211323738098145,123.373779296875,-9.809975624084473,163.52655029296875,3.0587000846862793,47.51667785644531,130.95175170898438,-34.3720703125,157.67367553710938,-59.254432678222656,0.0,0.0029296875,0.00927734375,0.0833740234375,0.05780029296875,0.3575439453125,0.029052734375,0.02001953125,0.41815185546875,0.0218505859375,148.827880859375,111.96862030029297,156.9814453125,111.09986877441406,151.26953125,112.07748413085938,143.099609375,112.95929718017578,1,malware
151.57947,111.32554,0.4072265625,-0.36892631784772484,-1.6694966760302217,0.9750212081800549,4.057886123657227,160.09219360351562,32.270809173583984,140.0059814453125,-20.874046325683594,8.09246826171875,128.93960571289062,-11.609796524047852,167.57998657226562,34.961219787597656,0.0,0.00250244140625,0.01104736328125,0.08709716796875,0.05999755859375,0.36273193359375,0.0299072265625,0.0191650390625,0.4052734375,0.02227783203125,150.505126953125,111.52161407470703,155.65380859375,110.11434936523438,150.489013671875,111.95462799072266,149.669921875,111.6012191772461,1,malware
148.90253,114.02779,0.40802001953125,-0.34947635479332834,-1.723531813388773,0.9754491025377516,-29.222164154052734,179.86056518554688,-10.225948333740234,160.6470947265625,31.009796142578125,14.706236839294434,217.4971160888672,-19.133243560791016,180.26739501953125,-6.379092216491699,0.0,0.00103759765625,0.00848388671875,0.0675048828125,0.05828857421875,0.37481689453125,0.023193359375,0.01837158203125,0.44146728515625,0.0068359375,150.539794921875,113.99823760986328,151.3115234375,113.44573974609375,144.242431640625,114.9704360961914,149.516357421875,113.55628967285156,1,malware
151.57104,111.09784,0.4088134765625,-0.36814406244226,-1.6662078713381032,0.9758732365037283,-17.533506393432617,145.60707092285156,27.75482177734375,105.71538543701172,-24.77472496032715,23.47915267944336,135.39370727539062,-43.810569763183594,168.17430114746094,30.5772762298584,0.0,0.00341796875,0.01165771484375,0.0885009765625,0.060302734375,0.3648681640625,0.03216552734375,0.01983642578125,0.393310546875,0.02593994140625,150.795166015625,111.25489044189453,159.58203125,109.85652923583984,147.174560546875,111.380615234375,148.732421875,111.47647094726562,1,malware
149.76837,111.902115,0.41107177734375,-0.34023132536522294,-1.6929227924028327,0.9770598248990628,-10.802095413208008,162.1800537109375,-11.673913955688477,136.8108673095703,-14.567085266113281,37.74889373779297,103.28772735595703,-9.151571273803711,170.07345581054688,-23.271514892578125,6.103515625e-05,0.0028076171875,0.008544921875,0.0794677734375,0.05621337890625,0.37066650390625,0.02777099609375,0.0184326171875,0.41290283203125,0.02313232421875,153.702392578125,110.65177917480469,154.584228515625,111.01314544677734,141.596435546875,113.14122009277344,149.1904296875,112.31153869628906,1,malware
148.24054,112.41976,0.422607421875,-0.3144287767562812,-1.7182929831274698,0.9826479556714031,-22.765514373779297,127.67139434814453,44.571044921875,194.8966064453125,-29.23700714111328,12.777002334594727,171.35731506347656,27.00211524963379,175.28106689453125,-28.76137351989746,6.103515625e-05,0.00250244140625,0.0101318359375,0.0858154296875,0.05828857421875,0.36065673828125,0.02874755859375,0.019287109375,0.414306640625,0.02020263671875,145.51513671875,112.4041748046875,151.220458984375,112.6123275756836,143.734375,113.3271255493164,152.4921875,111.08039855957031,1,malware
147.60242,112.62016,0.42437744140625,-0.308528720663175,-1.7208837656241285,0.9834356211669745,-2.9672718048095703,178.62167358398438,15.074651718139648,125.8861083984375,-30.03449058532715,13.395217895507812,184.04995727539062,17.45288848876953,151.07369995117188,16.915311813354492,6.103515625e-05,0.00274658203125,0.01043701171875,0.0775146484375,0.05389404296875,0.3626708984375,0.027099609375,0.01678466796875,0.4271240234375,0.02166748046875,141.967041015625,112.63732147216797,153.80712890625,111.58478546142578,147.760009765625,112.5580825805664,146.87548828125,113.3787612915039,1,malware
146.41205,112.91415,0.430908203125,-0.286692869184167,-1.7389342670225456,0.9861819083839808,-6.798853874206543,169.04119873046875,26.434158325195312,161.38302612304688,-36.4157829284668,6.548612594604492,158.34927368164062,-8.90693473815918,145.92161560058594,-15.400915145874023,0.0,0.00311279296875,0.0103759765625,0.08154296875,0.05828857421875,0.35955810546875,0.0262451171875,0.01873779296875,0.4210205078125,0.0211181640625,139.167236328125,113.47779083251953,151.839599609375,112.14866638183594,147.6201171875,112.35267639160156,147.021240234375,113.30043029785156,1,malware
147.00568,112.86046,0.429931640625,-0.2965289440095651,-1.73250443231999,0.9857872267771461,0.14827485382556915,176.49974060058594,3.883667230606079,149.74148559570312,-5.074626445770264,24.094635009765625,165.98312377929688,-5.872767925262451,159.6907196044922,-10.368217468261719,6.103515625e-05,0.00323486328125,0.009765625,0.081787109375,0.05780029296875,0.353759765625,0.02587890625,0.01739501953125,0.42889404296875,0.02142333984375,144.43408203125,112.48540496826172,154.09912109375,111.37127685546875,145.34765625,112.9351577758789,144.141845703125,114.32921600341797,1,malware
149.12775,112.25199,0.41900634765625,-0.33105724066240955,-1.7035634069218248,0.9809882629726401,29.114925384521484,164.332763671875,16.892681121826172,158.93148803710938,-28.754592895507812,15.89889144897461,160.44366455078125,35.334964752197266,138.48556518554688,10.544346809387207,6.103515625e-05,0.0028076171875,0.010009765625,0.07977294921875,0.05670166015625,0.36273193359375,0.02789306640625,0.0186767578125,0.417724609375,0.02362060546875,148.09423828125,111.98614501953125,151.998291015625,111.92416381835938,150.77734375,111.56942749023438,145.64111328125,113.41165924072266,1,malware
152.03082,113.62853,0.39031982421875,-0.4102888830484793,-1.6783490867803295,0.9650056321850855,-38.4897575378418,150.09158325195312,18.307117462158203,136.286865234375,-33.56397247314453,89.08997344970703,178.93740844726562,-77.76859283447266,154.31658935546875,-21.302268981933594,0.0,0.0010986328125,0.00689697265625,0.065673828125,0.05487060546875,0.37994384765625,0.022216796875,0.01885986328125,0.4442138671875,0.0062255859375,155.380126953125,112.91124725341797,166.0654296875,110.2094497680664,139.384765625,115.11974334716797,147.29296875,114.48836517333984,1,malware
151.56323,111.95782,0.404296875,-0.37119951869155093,-1.677686740282163,0.9734086775396755,-31.82935333251953,148.08114624023438,5.234560489654541,147.31036376953125,-14.004409790039062,-4.995182991027832,115.92379760742188,7.209843158721924,156.43515014648438,-35.9720344543457,6.103515625e-05,0.0032958984375,0.00897216796875,0.0810546875,0.05523681640625,0.3634033203125,0.02923583984375,0.02044677734375,0.41839599609375,0.0198974609375,144.4306640625,113.18067932128906,156.8671875,110.32430267333984,151.088134765625,112.0717544555664,153.866943359375,111.85826873779297,1,malware
